Date,Open,High,Low,Close,Adj Close,Volume
2019-09-24,91.599998,91.769997,89.510002,89.919998,88.557220,5662600
2019-09-25,89.940002,90.610001,89.019997,90.349998,88.980698,4764000
2019-09-26,90.839996,91.150002,89.500000,89.800003,88.439041,5026400
2019-09-27,90.300003,90.300003,87.790001,88.370003,87.030716,5987700
2019-09-30,88.410004,88.559998,87.610001,88.419998,87.079948,6588300
2019-10-01,88.629997,88.889999,86.449997,86.510002,85.198906,6719400
2019-10-02,85.949997,86.010002,84.160004,84.320000,83.042084,9858200
2019-10-03,84.300003,84.910004,83.610001,84.669998,83.386787,5989000
2019-10-04,84.900002,85.970001,84.750000,85.919998,84.617844,5869000
2019-10-07,85.709999,86.160004,85.489998,85.849998,84.548897,4382900
2019-10-08,85.489998,86.330002,84.690002,84.910004,83.623154,6100400
2019-10-09,85.370003,86.169998,85.279999,85.849998,84.548897,4427200
2019-10-10,85.910004,86.070000,85.379997,85.959999,84.657234,3986000
2019-10-11,87.019997,87.250000,86.260002,86.360001,85.051178,5611000
2019-10-14,86.500000,87.680000,86.400002,86.620003,85.307236,4881000
2019-10-15,87.000000,87.250000,85.760002,86.449997,85.139809,4695100
2019-10-16,86.529999,86.830002,86.050003,86.709999,85.395866,3698700
2019-10-17,86.879997,87.019997,86.160004,86.290001,84.982239,4359400
2019-10-18,86.349998,86.750000,85.519997,86.029999,84.726173,4631200
2019-10-21,86.000000,86.239998,85.080002,85.349998,84.056480,4861200
2019-10-22,85.230003,85.349998,83.389999,83.459999,82.195122,5767500
2019-10-23,84.309998,84.410004,82.129997,82.739998,81.486038,7136200
2019-10-24,82.800003,83.529999,82.660004,83.180000,81.919373,4591100
2019-10-25,83.209999,83.570000,82.629997,83.379997,82.116333,5235300
2019-10-28,84.470001,84.980003,83.360001,83.599998,82.333000,6653400
2019-10-29,83.809998,84.629997,83.639999,84.129997,82.854965,5699100
2019-10-30,84.610001,84.699997,83.320000,84.190002,82.914063,8731300
2019-10-31,86.709999,87.220001,83.279999,84.559998,83.278450,14008800
2019-11-01,84.790001,85.309998,82.610001,83.209999,81.948906,10658500
2019-11-04,83.300003,83.440002,81.900002,82.370003,81.121643,8271200
2019-11-05,82.339996,82.339996,81.029999,81.889999,80.648918,7054400
2019-11-06,82.080002,83.370003,82.000000,82.989998,81.732239,6365300
2019-11-07,83.059998,83.290001,81.839996,81.949997,80.708008,7221400
2019-11-08,82.190002,82.639999,81.449997,81.769997,80.530739,7054800
2019-11-11,81.750000,82.529999,81.370003,82.430000,81.180740,5828200
2019-11-12,82.690002,83.980003,82.610001,83.320000,82.467430,8551400
2019-11-13,83.290001,84.290001,83.199997,83.940002,83.081093,7407900
2019-11-14,84.099998,84.519997,83.800003,84.379997,83.516579,5285100
2019-11-15,84.680000,84.940002,83.570000,84.209999,83.348320,7533000
2019-11-18,83.919998,84.110001,83.250000,84.019997,83.160263,6432200
2019-11-19,84.059998,84.279999,83.570000,83.660004,82.803955,6008400
2019-11-20,83.540001,84.489998,82.980003,83.599998,82.744560,6248700
2019-11-21,83.750000,84.040001,81.760002,82.300003,81.457870,8300500
2019-11-22,82.690002,83.389999,82.660004,83.019997,82.170494,6080400
2019-11-25,83.160004,84.000000,82.930000,83.750000,82.893028,5450400
2019-11-26,84.129997,84.650002,84.000000,84.559998,83.694740,7651500
2019-11-27,84.849998,85.809998,84.419998,85.769997,84.892357,7502400
2019-11-29,85.910004,86.730003,85.250000,85.430000,84.555840,3857000
2019-12-02,85.379997,85.769997,83.820000,84.570000,83.704636,6425800
2019-12-03,84.029999,85.000000,83.820000,84.820000,83.952080,6049800
2019-12-04,85.129997,85.540001,84.699997,85.400002,84.526146,5940300
2019-12-05,85.440002,85.480003,84.320000,84.449997,83.585861,5170800
2019-12-06,85.029999,86.529999,85.029999,86.320000,85.436729,8499800
2019-12-09,86.309998,86.629997,85.959999,86.279999,85.397141,7164700
2019-12-10,86.500000,87.470001,85.910004,86.040001,85.159599,7944800
2019-12-11,86.260002,86.870003,85.849998,86.589996,85.703964,4921900
2019-12-12,88.000000,88.889999,87.540001,88.209999,87.307388,10282100
2019-12-13,88.019997,88.790001,87.580002,88.669998,87.762680,6714100
2019-12-16,89.139999,89.300003,88.430000,88.779999,87.871559,6705600
2019-12-17,88.870003,88.970001,87.470001,88.129997,87.228210,7296900
2019-12-18,88.389999,88.849998,87.820000,87.989998,87.089645,5859200
2019-12-19,87.830002,88.589996,87.580002,88.519997,87.614220,6022100
2019-12-20,88.790001,89.000000,87.889999,88.459999,87.554832,14271500
2019-12-23,88.620003,88.849998,88.180000,88.230003,87.327194,4349700
2019-12-24,88.199997,88.599998,88.000000,88.519997,87.614220,1847800
2019-12-26,88.730003,88.760002,87.790001,88.080002,87.178726,4177700
2019-12-27,88.110001,88.459999,87.690002,88.129997,87.228210,4129300
2019-12-30,88.010002,88.199997,87.059998,87.440002,86.545273,4655600
2019-12-31,87.440002,87.989998,87.309998,87.919998,87.020363,4115600
2020-01-02,88.120003,89.349998,88.050003,89.349998,88.435722,6473800
2020-01-03,88.660004,89.099998,88.099998,88.830002,87.921051,4874100
2020-01-06,88.110001,88.410004,87.470001,88.129997,87.228210,5409800
2020-01-07,87.959999,88.029999,87.129997,87.860001,86.960976,6514700
2020-01-08,87.940002,89.349998,87.779999,88.879997,87.970535,7296300
2020-01-09,90.250000,91.160004,90.070000,90.529999,89.603653,9443500
2020-01-10,90.800003,90.889999,89.629997,90.160004,89.237442,7097900
2020-01-13,90.620003,91.720001,90.209999,91.080002,90.148026,7382500
2020-01-14,91.190002,91.440002,90.860001,90.989998,90.058945,5855200
2020-01-15,91.000000,92.059998,91.000000,91.540001,90.603317,6145300
2020-01-16,91.989998,92.610001,91.629997,92.580002,91.632675,5179100
2020-01-17,92.930000,93.750000,92.809998,93.620003,92.662041,6962800
2020-01-21,92.830002,93.599998,92.190002,92.529999,91.583183,7094600
2020-01-22,93.139999,93.750000,92.470001,92.529999,91.583183,6157400
2020-01-23,91.919998,93.849998,90.739998,93.750000,92.790710,6100600
2020-01-24,94.000000,94.129997,91.339996,92.029999,91.088303,7815500
2020-01-27,88.629997,89.449997,87.550003,88.730003,87.822075,11066500
2020-01-28,89.050003,89.190002,87.720001,88.599998,87.693398,11922400
2020-01-29,88.150002,88.440002,85.599998,86.720001,85.832642,17678700
2020-01-30,85.449997,86.589996,84.690002,85.839996,84.961639,12224900
2020-01-31,85.790001,85.989998,84.519997,84.830002,83.961975,11693900
2020-02-03,85.070000,86.790001,85.070000,86.010002,85.129906,9092600
2020-02-04,87.139999,89.000000,86.620003,88.379997,87.475655,9997100
2020-02-05,88.879997,89.199997,86.629997,87.559998,87.067955,9982700
2020-02-06,87.650002,87.699997,86.150002,86.150002,85.665878,8901400
2020-02-07,85.760002,86.620003,85.320000,86.419998,85.934357,8073900
2020-02-10,86.430000,87.620003,86.169998,87.529999,87.038124,7289300
2020-02-11,87.860001,88.230003,87.349998,87.510002,87.018234,5098500
2020-02-12,87.709999,89.099998,87.389999,88.570000,88.072281,7747800
2020-02-13,88.500000,90.510002,88.260002,89.930000,89.424637,8576600
2020-02-14,90.180000,90.410004,88.989998,89.279999,88.778290,5686900
2020-02-18,89.370003,89.470001,88.290001,89.230003,88.728577,5288800
2020-02-19,89.489998,90.440002,89.300003,90.139999,89.633453,5210800
2020-02-20,89.730003,90.250000,87.730003,88.599998,88.102112,5969200
2020-02-21,88.000000,88.389999,87.000000,87.360001,86.869080,5800500
2020-02-24,84.529999,86.050003,84.260002,84.519997,84.045036,8313600
2020-02-25,85.019997,85.349998,81.669998,82.190002,81.728134,9404000
2020-02-26,82.599998,83.239998,80.639999,80.669998,80.216675,10541500
2020-02-27,78.830002,80.870003,77.360001,78.290001,77.850052,17115600
2020-02-28,76.169998,78.809998,75.720001,78.430000,77.989258,19120200
2020-03-02,77.919998,82.410004,77.660004,82.379997,81.917061,14258700
2020-03-03,82.300003,82.620003,78.110001,78.599998,78.158302,12395900
2020-03-04,79.290001,80.199997,77.879997,79.669998,79.222290,10999600
2020-03-05,77.900002,77.900002,75.279999,76.190002,75.761848,12545300
2020-03-06,73.459999,75.709999,72.050003,75.339996,74.916618,18080100
2020-03-09,70.580002,74.029999,70.080002,70.830002,70.431969,15930300
2020-03-10,72.559998,74.949997,70.029999,74.870003,74.449272,18414000
2020-03-11,72.830002,74.269997,67.400002,68.300003,67.916191,17138000
2020-03-12,62.950001,66.790001,61.459999,62.099998,61.751026,25170600
2020-03-13,65.650002,70.180000,63.509998,69.919998,69.527084,19247200
2020-03-16,60.630001,63.950001,58.110001,58.590000,58.260754,23354300
2020-03-17,59.549999,59.619999,53.610001,58.980000,58.648560,25045200
2020-03-18,55.549999,57.650002,50.020000,56.330002,56.013454,28770600
2020-03-19,56.230000,63.360001,53.549999,61.410000,61.064903,25167400
2020-03-20,62.299999,65.680000,57.910000,58.029999,57.703899,28420600
2020-03-23,57.230000,57.439999,54.000000,56.549999,56.232216,24905800
2020-03-24,62.610001,65.160004,61.000000,64.879997,64.515404,28286200
2020-03-25,66.830002,69.639999,63.490002,65.809998,65.440178,22977200
2020-03-26,66.709999,71.580002,66.250000,69.900002,69.507195,20997500
2020-03-27,66.680000,68.250000,64.820000,66.339996,65.967194,18950500
2020-03-30,66.559998,68.220001,64.580002,67.860001,67.478661,14199700
2020-03-31,67.180000,68.320000,65.309998,65.739998,65.370567,20109800
2020-04-01,63.000000,64.760002,61.580002,62.619999,62.268105,12880400
2020-04-02,65.750000,68.699997,62.910000,65.000000,64.634727,18175000
2020-04-03,64.470001,64.750000,60.900002,63.049999,62.695686,14676500
2020-04-06,66.269997,68.339996,64.410004,67.790001,67.409050,18010800
2020-04-07,71.570000,72.480003,68.330002,68.709999,68.323883,13799400
2020-04-08,69.580002,71.919998,68.540001,71.570000,71.167809,10417600
2020-04-09,71.199997,74.260002,70.139999,73.879997,73.464828,19769600
2020-04-13,73.519997,73.599998,70.349998,71.760002,71.356743,11191800
2020-04-14,73.690002,74.330002,72.660004,73.669998,73.256004,10912000
2020-04-15,72.010002,73.180000,70.709999,72.550003,72.142303,10642500
2020-04-16,73.110001,73.760002,71.349998,73.510002,73.096909,11946800
2020-04-17,76.620003,77.389999,74.970001,77.099998,76.666733,14268400
2020-04-20,76.019997,76.980003,75.080002,75.320000,74.896736,9684700
2020-04-21,73.400002,73.959999,71.739998,72.720001,72.311348,10345800
2020-04-22,74.550003,78.059998,74.430000,77.449997,77.014763,11355300
2020-04-23,77.330002,77.669998,74.260002,75.150002,74.727692,15513400
2020-04-24,75.750000,76.029999,74.209999,75.580002,75.155281,8460600
2020-04-27,76.680000,78.040001,76.540001,77.739998,77.303139,8258500
2020-04-28,78.669998,79.610001,76.959999,78.690002,78.247803,12801400
2020-04-29,78.180000,78.750000,76.720001,76.860001,76.428085,24575500
2020-04-30,76.830002,77.639999,75.190002,76.730003,76.298820,15178400
2020-05-01,74.900002,75.879997,73.209999,73.790001,73.375336,11216700
2020-05-04,72.580002,72.620003,71.260002,71.889999,71.486015,12921800
2020-05-05,74.959999,75.080002,72.889999,72.900002,72.490341,12976000
2020-05-06,73.769997,74.849998,72.860001,72.959999,72.549995,12740900
2020-05-07,73.809998,76.029999,73.370003,76.000000,76.000000,13360500
2020-05-08,77.250000,77.930000,75.760002,77.870003,77.870003,11921800
2020-05-11,76.620003,77.180000,75.800003,75.870003,75.870003,8998800
2020-05-12,76.000000,76.730003,74.339996,74.349998,74.349998,8549900
2020-05-13,74.459999,75.750000,72.919998,73.620003,73.620003,11532700
2020-05-14,72.320000,74.290001,70.650002,74.190002,74.190002,11932300
2020-05-15,72.809998,74.639999,72.669998,74.160004,74.160004,9489100
2020-05-18,76.860001,77.500000,76.199997,76.230003,76.230003,8912500
2020-05-19,76.400002,77.220001,75.760002,75.860001,75.860001,6484900
2020-05-20,77.230003,77.839996,76.519997,77.760002,77.760002,7790500
2020-05-21,78.599998,79.379997,77.889999,78.050003,78.050003,10312600
2020-05-22,77.900002,78.050003,76.519997,77.620003,77.620003,7653300
2020-05-26,79.599998,79.919998,77.580002,77.760002,77.760002,8422200
2020-05-27,78.980003,78.980003,77.389999,78.599998,78.599998,8245300
2020-05-28,78.639999,80.059998,77.930000,78.540001,78.540001,8331400
2020-05-29,78.620003,78.639999,77.260002,77.989998,77.989998,10109000
2020-06-01,77.660004,78.650002,76.769997,78.320000,78.320000,7922000
2020-06-02,77.970001,78.260002,76.790001,77.779999,77.779999,9521000
2020-06-03,78.449997,79.949997,78.300003,79.580002,79.580002,9956700
2020-06-04,79.309998,80.169998,78.470001,78.739998,78.739998,7667600
2020-06-05,80.330002,82.330002,79.970001,82.139999,82.139999,12030800
2020-06-08,83.080002,83.620003,82.180000,83.559998,83.559998,10229600
2020-06-09,82.620003,83.220001,81.760002,82.370003,82.370003,7999800
2020-06-10,79.879997,80.029999,78.199997,79.010002,79.010002,19683800
2020-06-11,75.750000,76.790001,72.150002,72.570000,72.570000,26422200
2020-06-12,75.000000,76.720001,73.809998,76.379997,76.379997,18521600
2020-06-15,74.300003,77.910004,74.080002,76.959999,76.959999,14644700
2020-06-16,78.790001,78.940002,76.389999,77.839996,77.839996,10890100
2020-06-17,78.070000,78.290001,76.680000,77.099998,77.099998,6904200
2020-06-18,76.720001,76.790001,75.800003,76.309998,76.309998,8486000
2020-06-19,77.029999,77.379997,74.879997,75.400002,75.400002,12538600
2020-06-22,74.900002,75.650002,73.919998,75.400002,75.400002,8238600
2020-06-23,76.330002,76.370003,75.070000,75.489998,75.489998,8076600
2020-06-24,74.900002,74.919998,72.000000,73.639999,73.639999,12306400
2020-06-25,73.220001,74.110001,72.169998,73.849998,73.849998,8624800
2020-06-26,73.629997,73.769997,71.250000,71.570000,71.570000,17627800
2020-06-29,71.410004,73.500000,71.059998,73.480003,73.480003,8653000
2020-06-30,73.580002,73.879997,72.809998,73.589996,73.589996,11324000
2020-07-01,74.000000,74.690002,73.379997,74.029999,74.029999,6750000
2020-07-02,75.040001,75.089996,73.639999,73.779999,73.779999,6544400
2020-07-06,74.930000,75.480003,74.160004,75.440002,75.440002,7235300
2020-07-07,75.129997,75.230003,74.000000,74.250000,74.250000,7515100
2020-07-08,74.070000,74.500000,73.330002,74.139999,74.139999,7346200
2020-07-09,73.730003,74.220001,71.930000,73.570000,73.570000,9618200
2020-07-10,73.000000,74.559998,72.739998,74.290001,74.290001,7524200
